PointType,Index,T,X,Y,Curvature
spline,302,30.2,-12.5302459043,-17.4653035603,0.139339337079
spline,303,30.3,-12.7857113287,-17.5364990257,0.137891565587
spline,304,30.4,-13.0353576419,-17.6159537887,0.135960738558
spline,305,30.5,-13.2792096388,-17.7031864371,0.133603500022
spline,306,30.6,-13.5172968877,-17.7977164584,0.130878947122
spline,307,30.7,-13.7496490518,-17.8990634769,0.127846477277
spline,308,30.8,-13.976291034,-18.0067444972,0.124563928129
spline,309,30.9,-14.1972612545,-18.1202833184,0.121085396578
spline,310,31,-14.412585005,-18.2391976668,0.117460033506
spline,311,31.1,-14.6223328197,-18.3631024382,0.119646326651
spline,312,31.2,-14.8267386661,-18.4919935172,0.121024539532
spline,313,31.3,-15.0260734403,-18.6259592548,0.121548773187
spline,314,31.4,-15.2206196644,-18.7650959686,0.121197495539
spline,315,31.5,-15.4106486002,-18.9094926915,0.119974605857
spline,316,31.6,-15.5964351115,-19.0592405942,0.117908799667
spline,317,31.7,-15.7782541739,-19.2144309919,0.115052007408
spline,318,31.8,-15.9563768923,-19.3751515084,0.111476455738
spline,319,31.9,-16.1310851247,-19.5414996694,0.107269778653
spline,320,32,-16.3026504613,-19.7135638628,0.102530267694
spline,321,32.1,-16.4712130027,-19.8914166712,0.106114531051
spline,322,32.2,-16.6363973938,-20.0750815868,0.109919466771
spline,323,32.3,-16.7976751034,-20.2645432566,0.113924898627
spline,324,32.4,-16.9545422196,-20.459814482,0.118105415999
spline,325,32.5,-17.1064703762,-20.6608784451,0.122428319032
spline,326,32.6,-17.2529500543,-20.8677415332,0.126853147175
spline,327,32.7,-17.3934698392,-21.0804097376,0.131330386526
spline,328,32.8,-17.5275027904,-21.2988651215,0.135800625505
spline,329,32.9,-17.6545431324,-21.5231229732,0.140194727949
spline,330,33,-17.7740646007,-21.7531640405,0.144433050564
spline,331,33.1,-17.8855805832,-21.9890486277,0.148218465389
spline,332,33.2,-17.9886967371,-22.2310460753,0.150875376466
spline,333,33.3,-18.0830319438,-22.4794517428,0.15231996055
spline,334,33.4,-18.1682197591,-22.734598112,0.152505606213
spline,335,33.5,-18.2438799681,-22.9967788821,0.151427937171
spline,336,33.6,-18.3096430405,-23.2663179278,0.149126227605
spline,337,33.7,-18.3651367989,-23.5435388218,0.145681528155
spline,338,33.8,-18.4099834867,-23.8287338103,0.141212308731
spline,339,33.9,-18.4438131083,-24.122238489,0.135864698294
spline,340,34,-18.4662491536,-24.4243433929,0.129804324884
spline,341,34.1,-18.4770608267,-24.7352029843,0.115075141736
spline,342,34.2,-18.4765756206,-25.0542861304,0.102436819233
spline,343,34.3,-18.4652629136,-25.3808552857,0.0915997210514
spline,344,34.4,-18.4435907094,-25.7142218333,0.0823020656823
spline,345,34.5,-18.4120295804,-26.0536463718,0.0743167773342
spline,346,34.6,-18.3710484238,-26.398428872,0.0674480455747
spline,347,34.7,-18.3211135525,-26.7478685066,0.0615299687383
spline,348,34.8,-18.2626978891,-27.1012249117,0.0564237054886
spline,349,34.9,-18.1962660708,-27.4578118586,0.05201223663
spline,350,35,-18.1222918223,-27.8168879324,0.0481986978862
spline,351,35.1,-18.0416369143,-28.1777861003,0.0279466269258
spline,352,35.2,-17.9567380933,-28.5399638586,0.0086066196019
spline,353,35.3,-17.8704375298,-28.9028705536,-0.0103573072486
spline,354,35.4,-17.7855639125,-29.26601047,-0.0294788880769
spline,355,35.5,-17.7049590269,-29.6288320263,-0.0492724432058
spline,356,35.6,-17.6314553301,-29.9908266911,-0.0702212688295
spline,357,35.7,-17.5678852661,-30.3514839666,-0.0927423621984
spline,358,35.8,-17.5170891723,-30.7102527649,-0.117121605544
spline,359,35.9,-17.4818986845,-31.066637438,-0.143415832586
spline,360,36,-17.4651514886,-31.4200866421,-0.1712934113
spline,361,36.1,-17.469039897,-31.7700679085,-0.168225504468
spline,362,36.2,-17.4931894209,-32.115948892,-0.164589019076
spline,363,36.3,-17.5365814668,-32.4570354849,-0.160621927167
